ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/1aGLzV9KTZtu0GRPBiOBXpyDOLDpRR7fl,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla
H31204,variable,,BLUSA CATS ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,"CATS 1.jpg, CATS 2.jpg, CATS 3.jpg",,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31204XS,variable,,BLUSA CATS XS,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XS,,,
H31204S,variable,,BLUSA CATS S,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,S,,,
H31204M,variable,,BLUSA CATS M,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,M,,,
H31204L,variable,,BLUSA CATS L,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,L,,,
H31204XL,variable,,BLUSA CATS XL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XL,,,
H31204XXL,variable,,BLUSA CATS XXL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XXL,,,
H31216,variable,,BLUSA MONSTER ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,"MONSTER 1.jpg, MONSTER 2.jpg, MONSTER 3.jpg, MONSTER 4.jpg",,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31216XS,variable,,BLUSA MONSTER XS,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XS,,,
H31216S,variable,,BLUSA MONSTER S,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,S,,,
H31216M,variable,,BLUSA MONSTER M,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,M,,,
H31216L,variable,,BLUSA MONSTER L,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,L,,,
H31216XL,variable,,BLUSA MONSTER XL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XL,,,
H31216XXL,variable,,BLUSA MONSTER XXL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XXL,,,
