"INGRESA AQUI LOS PRODUCTOS VARIABLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ID","Tipo","SKU padre","sku ","Nombre","Publicado (0/1)","¿Está destacado? (0/1)","Visibilidad en el catálogo","Descripción corta","Descripción","Estado del impuesto","Clase de impuesto","¿En inventario? (0/1)","Inventario (cantidad)","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","Precio rebajado","Precio normal","Categorías","Etiquetas","Clase de envío","Imágenes https://drive.google.com/drive/folders/1i9GHkuXTpf8pYqphmtF9dLWNeRXMGxlH","Swatches Attributes","Nombre del atributo 1","Valor(es) del atributo talla","Atributo visible talla","Atributo global talla","Atributo por defecto talla",""
"","variable","","","VESTIDO LETICIA NEGRO XXL","1","0","visible","","","","","1","1","","","","","","110,000","VESTIDO","","","","","","","1","1","",""
"","variable","","","","1","0","visible","","","","","1","1","","","","","","110,000","VESTIDO","","","","","","","1","1","",""
"102","variable","","","VESTIDO LETICIA FLORES","1","0","visible","","MAXIDRESS HEALTER ELABORADO EN CHALLIES FONDO ENTERO, ES DE SILUETA AMPLIA, Y CON ESCOTE POSTEIOR.","","","1","1","","","","","","110,000","VESTIDO","","","","","FLORES","S, SM, L-XL","1","1","",""
"","variable","","","VESTIDO LETICIA FLORES -S","1","0","visible","","","","","1","1","","","","","","110,000","VESTIDO","","","BLACK SABBATH WHITE","","","","1","1","",""
"","variable","","","VESTIDO LETICIA FLORES -SM","1","0","visible","","","","","1","1","","","","","","110,000","VESTIDO","","","BLACK SABBATH ","","","","1","1","",""
"","variable","","","VESTIDO LETICIA FLORES -L-XL","1","0","visible","","","","","1","0","","","","","","110,000","VESTIDO","","","ROLLING STONES","","FLORES","SM,L-XL","1","1","",""
"","variable","","","","1","0","visible","","","","","","","","","","","","","","","","BEATLES","","","","","","",""
"103","variable","","","VESTIDO GRETA","1","0","visible","VESTIDO RELAJADO DE SILUETA AMPLIA","VESTIDO TALEGO MIDI ELABORADO EN CHALLIES, TIENE BOLSILLOS EN LOS LATERALES Y ES DE SILUETA AMPLIA","taxable","parent","1","1","","","","","","","","","","KISSS","","","","","1","",""
"","variable","","","VESTIDO GRETA -SM","1","0","visible","","","","","","","","","","","","85,000","VESTIDO","","","METALLICA","","","","","","",""
"","variable","","","VESTIDO GRETA - L-XL","1","0","visible","","","","","","","","","","","","85,000","VESTIDO","","","GUNS N ROSES","","","","","","",""
"","variable","","","","1","0","visible","","","","","","","","","","","","","","","","RAMONES","","","","","","",""
"104","variable","","","PANTALONETAS UNISEX POP CORN","1","0","visible","PANTALOETAS UNISEX","PANATLONETAS UNISEX ELABORADAS EN ANTIFLUIDO CON ESPANDEX.","taxable","parent","1","15","","","","","","50,000","PANTALONETA","","","","","","","","","",""
"","variable","","","PANTALONETAS UNISEX POP CORN - M","1","0","visible","","","taxable","parent","1","1","","","","","","50,000","PANTALONETA","","","","","","","","","",""
"","variable","","","PANTALONETAS UNISEX POP CORN -L","1","0","visible","","","taxable","parent","0","0","","","","","","50,000","PANTALONETA","","","","","","","","","",""
"","variable","","","","1","0","visible","","","","","","","","","","","","","","","","","","","","","","",""
"105","variable","","","PANTALONETA CASA DE PAPEL","1","0","visible","","PANATLONETAS UNISEX ELABORADAS EN ANTIFLUIDO CON ESPANDEX.","","","","","","","","","","50,000","PANTALONETA","","","","","","","","","",""
